userId,videoStartTime,videoEndTime,videoTotalTime,videoId,time
76622,237.262524506,0,238,25316,2016-05-11T05:51:31.149Z
76622,0,228.874969347,238,25316,2016-05-11T05:51:34.069Z
64706,129.165753,135.922482,213,25181,2016-04-27T08:52:55.413Z
42873,24.954999923706055,50.2400016784668,491,25312,2016-04-26T08:32:52.727Z
42873,0.62,33.908012,213,25181,2016-04-26T09:40:27.543Z
42873,10.435079,18.60790705128205,238,25316,2016-05-03T16:03:03.252Z
42873,18.60790705128205,26.661367,238,25316,2016-05-03T16:03:06.250Z
75689,1.158854,112.05629838142153,325,25310,2016-04-28T12:48:08.941Z
75689,113.354861,172.691652,325,25310,2016-04-28T12:48:14.939Z
75689,172.691652,227.3809054656345,325,25310,2016-04-28T12:48:17.938Z
75689,229.639655,0.718813,325,25310,2016-04-28T12:48:23.937Z
75689,103.019208,94.935959,372,25314,2016-04-28T14:00:33.489Z
75689,226.936584,168.073563,372,25314,2016-04-28T14:02:48.542Z
75689,168.073563,221.680078,372,25314,2016-04-28T14:02:51.525Z
75689,315.819578,146.997225,372,25314,2016-04-28T14:04:39.504Z
75689,146.997225,272.955073,372,25314,2016-04-28T14:04:42.509Z
75689,272.955073,290.860292,372,25314,2016-04-28T14:04:45.491Z
75689,290.860292,313.48793859649123,372,25314,2016-04-28T14:04:48.497Z
75689,542.258917,564.245882,617,25318,2016-05-16T14:03:32.819Z
75689,573.346402,413.218504,617,25318,2016-05-16T14:14:00.450Z
75689,433.737921,198.177562,617,25318,2016-05-16T14:14:23.837Z
198,187.158,179.971432,213,25181,2016-04-28T05:03:49.861Z
198,21.161,85.125896,362,25311,2016-04-28T05:11:06.042Z
198,85.125896,103.116827,362,25311,2016-04-28T05:11:08.615Z
198,267.88,236.212547,611,25313,2016-04-28T05:35:33.461Z
198,236.212547,220.333887,611,25313,2016-04-28T05:35:36.872Z
198,249.598,227.032252,372,25314,2016-04-28T06:13:14.873Z
198,227.032252,209.953034,372,25314,2016-04-28T06:13:17.921Z
198,175.641,165.043185,414,25315,2016-04-28T06:20:52.303Z
198,267.063185,252.865887,414,25315,2016-04-28T06:22:37.791Z
198,162.661,147.15295566239317,414,25317,2016-04-28T06:37:32.969Z
198,147.15295566239317,132.932474,414,25317,2016-04-28T06:37:35.884Z
198,132.932474,109.440655,414,25317,2016-04-28T06:37:39.228Z
198,156.421,141.062238,617,25318,2016-04-28T06:46:08.821Z
198,216.062238,196.218678,617,25318,2016-04-28T06:47:26.907Z
198,199.219678,216.756709,617,25318,2016-04-28T06:47:33.282Z
76438,120.461383,114.204228,362,25311,2016-04-28T15:16:36.239Z
76438,196.67102,186.13410416666667,611,25313,2016-04-28T15:34:30.105Z
76438,186.13410416666667,172.768958,611,25313,2016-04-28T15:34:33.074Z
76438,181.544468,169.8351458333333,611,25313,2016-04-28T15:34:45.070Z
76438,168.191307,160.194364,611,25313,2016-04-28T15:34:54.090Z
76438,568.189262,556.7724166666666,611,25313,2016-04-28T15:41:45.071Z
76438,556.7724166666666,533.6278958333332,611,25313,2016-04-28T15:41:48.071Z
76444,0.635711826,48.26545862068966,213,25181,2016-04-25T06:42:36.041Z
76444,61.952214241,45.975119217,325,25310,2016-04-25T06:49:00.741Z
76447,151.179,134.920808,362,25311,2016-04-25T02:58:23.452Z
76447,106.018,98.596103,491,25312,2016-04-25T03:14:56.756Z
76447,94.049194,81.187116,491,25312,2016-04-25T03:15:02.740Z
76447,81.187116,67.983603,491,25312,2016-04-25T03:15:05.739Z
76447,143.018,136.217772,238,25316,2016-04-25T04:06:39.913Z
76447,197.198,184.37455357142858,414,25317,2016-04-25T04:13:46.310Z
76447,186.852553,140.127434,414,25317,2016-04-25T04:13:52.315Z
76447,140.127434,165.2666452922078,414,25317,2016-04-25T04:13:55.310Z
76447,165.2666452922078,175.125306,414,25317,2016-04-25T04:13:58.310Z
76447,335.318,326.514162,617,25318,2016-04-25T04:27:58.415Z
76447,439.994162,434.374326,617,25318,2016-04-25T04:31:10.344Z
76447,434.374326,426.736365,617,25318,2016-04-25T04:31:13.334Z
76447,16.938,372.467652,617,25318,2016-04-25T04:42:12.425Z
76447,372.467652,473.3258764367816,617,25318,2016-04-25T04:42:15.406Z
76447,473.3258764367816,528.012872,617,25318,2016-04-25T04:42:18.390Z
76447,528.012872,103.500945,617,25318,2016-04-25T04:42:21.426Z
76447,103.500945,227.37336494252872,617,25318,2016-04-25T04:42:24.469Z
76447,227.37336494252872,448.55368103448274,617,25318,2016-04-25T04:42:27.391Z
76447,0,223.1144022988506,414,25317,2016-04-25T04:42:33.048Z
76447,223.1144022988506,321.023647,414,25317,2016-04-25T04:42:36.048Z
76447,321.023647,387.748867,414,25317,2016-04-25T04:42:39.049Z
76447,387.748867,121.64482,414,25317,2016-04-25T04:42:42.049Z
76447,121.64482,112.743979,414,25317,2016-04-25T04:42:45.050Z
76447,107.962307,119.823484,414,25317,2016-04-25T04:42:51.048Z
76447,119.823484,104.436528,414,25317,2016-04-25T04:42:54.055Z
76447,104.615528,123.46382,414,25317,2016-04-25T04:44:57.104Z
76447,202.439,10.080760344827587,213,25181,2016-04-25T04:50:10.205Z
76447,591.558,580.35985,776,25360,2016-05-02T07:36:36.376Z
76447,286.419,260.937723,391,25361,2016-05-02T07:46:21.880Z
76447,225.081,199.602552,226,25367,2016-05-02T08:36:00.710Z
76447,249.258542,237.247295,301,25338,2016-05-19T03:13:37.917Z
76447,237.247295,232.010201,301,25338,2016-05-19T03:13:40.921Z
76447,301.158146,285.974568,351,25420,2016-05-30T06:24:46.358Z
76447,287.73236,280.586214,351,25420,2016-05-30T06:24:52.375Z
76447,393.297479,383.77625000000086,837,25421,2016-05-30T07:04:08.454Z
76447,383.77625000000086,366.313417,837,25421,2016-05-30T07:04:11.469Z
67316,123.549458,138.04179868487606,325,25310,2016-04-26T10:26:19.873Z
67316,138.04179868487606,164.66414557410218,325,25310,2016-04-26T10:26:22.872Z
67316,164.66414557410218,155.0505203085483,325,25310,2016-04-26T10:26:25.872Z
67316,181.78652,187.558441,325,25310,2016-04-26T10:26:55.873Z
67316,187.558441,196.486034,325,25310,2016-04-26T10:26:58.873Z
67316,234.17805134041475,239.84762521497217,325,25310,2016-04-26T10:27:37.873Z
67316,320.582625,289.641274,325,25310,2016-04-26T10:29:01.873Z
67316,289.641274,296.825847,325,25310,2016-04-26T10:29:04.873Z
67316,15.919,23.624796,491,25312,2016-04-26T12:04:26.216Z
67316,23.624796,35.304248861911994,491,25312,2016-04-26T12:04:29.230Z
67316,35.304248861911994,63.655024,491,25312,2016-04-26T12:04:32.224Z
67316,63.655024,83.736207,491,25312,2016-04-26T12:04:35.249Z
67316,83.736207,97.883402,491,25312,2016-04-26T12:04:38.216Z
67316,100.883402,77.669347,491,25312,2016-04-26T12:04:44.215Z
