userId,videoStartTime,videoEndTime,videoTotalTime,videoId,time
78794,430.641288,478.978267,611,25313,2016-04-29T15:37:26.464Z
78794,481.738267,495.059155,611,25313,2016-04-29T15:37:32.471Z
78794,495.059155,557.626706,611,25313,2016-04-29T15:37:35.467Z
78794,557.626706,600.889512,611,25313,2016-04-29T15:37:38.463Z
78794,600.889512,504.143642,611,25313,2016-04-29T15:37:41.463Z
78794,504.143642,509.6275,611,25313,2016-04-29T15:37:44.464Z
78794,515.6285,486.712439,611,25313,2016-04-29T15:37:53.463Z
78794,486.712439,463.756379,611,25313,2016-04-29T15:37:56.464Z
75590,327.679,197.269729,372,25314,2016-04-29T15:43:45.608Z
75590,197.269729,302.779608,372,25314,2016-04-29T15:43:48.608Z
75590,302.779608,315.469911,372,25314,2016-04-29T15:43:51.608Z
75590,315.469911,329.8879362670713,372,25314,2016-04-29T15:43:54.609Z
75590,371.541,142.121503,372,25314,2016-04-29T15:44:39.624Z
77136,12.911,42.085034482758616,611,25313,2016-04-29T15:45:06.887Z
77136,42.085034482758616,88.553926,611,25313,2016-04-29T15:45:09.887Z
77136,88.553926,137.327362,611,25313,2016-04-29T15:45:12.900Z
77136,212.087362,224.347745,611,25313,2016-04-29T15:46:30.888Z
77136,224.347745,235.609004,611,25313,2016-04-29T15:46:33.888Z
75464,170.951586,161.481693,414,25315,2016-04-29T15:49:10.291Z
75464,221.482693,213.689482,414,25315,2016-04-29T15:50:13.309Z
75464,223.636409,204.71959,414,25315,2016-04-29T15:50:31.295Z
77136,20.052,31.475143,372,25314,2016-04-29T15:56:44.530Z
77136,31.475143,64.762718,372,25314,2016-04-29T15:56:47.530Z
77136,64.762718,104.833494,372,25314,2016-04-29T15:56:50.530Z
77136,104.833494,131.514867,372,25314,2016-04-29T15:56:53.531Z
77136,140.726051,164.844396,372,25314,2016-04-29T15:57:11.530Z
77136,164.844396,186.716954,372,25314,2016-04-29T15:57:14.562Z
77136,186.716954,214.457758,372,25314,2016-04-29T15:57:17.532Z
77136,247.089758,261.403734,372,25314,2016-04-29T15:57:53.532Z
77136,261.403734,274.74066,372,25314,2016-04-29T15:57:56.539Z
77136,274.74066,294.83131,372,25314,2016-04-29T15:57:59.531Z
77136,294.83131,310.822143,372,25314,2016-04-29T15:58:02.531Z
77136,313.822143,336.623994,372,25314,2016-04-29T15:58:08.532Z
77136,336.623994,366.4987068965517,372,25314,2016-04-29T15:58:11.531Z
77136,64.173,71.823409,414,25315,2016-04-29T15:59:30.504Z
77136,71.823409,79.16581,414,25315,2016-04-29T15:59:33.505Z
77136,82.16581,89.589284,414,25315,2016-04-29T15:59:39.504Z
77136,89.589284,114.56130603448275,414,25315,2016-04-29T15:59:42.510Z
77136,114.56130603448275,132.307181,414,25315,2016-04-29T15:59:45.509Z
77136,132.307181,141.550163,414,25315,2016-04-29T15:59:48.506Z
